shipment_id,shipment_reference,physical_pallet_count,pallet_mapping_status,source_carton_number,source_carton_count,source_pallet_number,sku,part_number,name_zh,name_en,category,unit,expected_quantity,unit_price_incl_vat_cny,line_amount_cny,product_barcode_source,product_barcode,import_ready,review_issue
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0002,8104400XKZ96A,空调滤芯,Cabin Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,10,15.9,159,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0005,1109103XKM01A,空气滤芯,Engine Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0010,1109104XGW02A,空气滤芯,Engine Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,10,21.2,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0012,8104300XKR02A,空调滤芯,Cabin Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0013,8100422XNZ01A,空调滤芯,Cabin Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,19.08,76.32,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0018,1109101AGW01A,空气滤芯,Engine Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,10,21.2,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,26#,1,,DM-GWM-0032,8104430XKV3AA,空调滤芯,Cabin Air Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,27#,1,,DM-GWM-0016,1017100XEB02,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,20,15.9,318,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,27#,1,,DM-GWM-0041,151100002,变速箱滤芯,Transmission Filter,传动系统 / Drivetrain,个 / pc,6,31.8,190.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,27#,1,,DM-GWM-0048,151100008,变速箱滤芯,Transmission Filter,传动系统 / Drivetrain,个 / pc,6,31.8,190.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,28#,1,,DM-GWM-0060,2905102XGW01A,前减震器（左）,Left Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,254.4,2544,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,28#,1,,DM-GWM-0061,2905103XGW01A,前减震器（右）,Right Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,254.4,2544,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,28#,1,,DM-GWM-0062,2905401XGW02A,前减震器（左）,Left Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,254.4,2544,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,28#,1,,DM-GWM-0063,2905402XGW02A,前减震器（右）,Right Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,254.4,2544,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,28#,1,,DM-GWM-0084,2905101XPW04A,前减震器（右）,Right Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,233.2,932.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,29#,1,,DM-GWM-0052,2905121XPW01A,前减震器（左）,Left Front Shock Absorber,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,233.2,932.8,products.barcode,,NO,Pallet mapping pending
